Gene	HPV_positive_rates	HPV_negative_rates
AIG1	2.016898e-06	2.248655e-06
AIM1	8.463416e-07	1.132604e-06
AIM1L	1.609233e-06	3.384609e-06
AIM2	2.556086e-07	1.798895e-06
AIMP1	1.042813e-06	1.675206e-06
AIMP2	0	3.516725e-07
AIP	8.027596e-07	1.801314e-06
AIPL1	3.278846e-06	1.967979e-06
AIRE	5.548209e-07	2.234562e-06
AJAP1	1.302485e-06	4.008415e-06
AK1	1.798778e-06	1.926407e-06
AK2	2.19877e-06	1.816545e-06
AK3	4.198364e-07	2.183894e-06
AK3L1	1.944396e-06	1.923702e-06
AK5	8.114341e-07	2.275974e-06
AK7	1.918342e-06	3.109107e-06
AKAP1	2.451247e-07	1.140474e-06
AKAP10	1.411792e-06	1.757317e-06
AKAP11	8.17153e-07	1.023682e-06
AKAP12	8.644907e-07	1.074643e-06
AKAP13	0	5.641254e-07
AKAP14	8.965329e-07	4.28187e-07
AKAP2	6.113882e-07	1.332349e-06
AKAP3	1.554377e-06	2.615903e-06
AKAP4	1.487901e-06	2.900119e-06
AKAP5	1.227596e-06	1.341782e-06
AKAP6	1.657451e-06	2.382139e-06
AKAP7	9.873121e-07	1.611223e-06
AKAP8	1.812598e-06	1.641929e-06
AKAP8L	1.629969e-06	1.798293e-06
AKAP9	0	1.394164e-06
AKD1	0	6.733358e-07
AKIRIN1	2.652553e-07	1.258051e-06
AKIRIN2	1.305565e-06	1.647878e-06
AKNA	5.661011e-07	7.145073e-07
AKNAD1	8.001299e-07	2.584952e-06
AKR1A1	1.876619e-06	1.501215e-06
AKR1B1	1.771947e-06	1.933969e-06
AKR1B10	2.920631e-07	1.56393e-06
AKR1B15	1.048225e-06	1.202785e-06
AKR1C1	7.664744e-07	2.110779e-06
AKR1C2	1.547104e-06	2.130269e-06
AKR1C3	7.076425e-07	1.443528e-06
AKR1C4	1.808301e-06	3.517508e-06
AKR1D1	6.970351e-07	2.256756e-06
AKR1E2	1.125738e-06	3.658902e-06
AKR7A2	1.028292e-06	5.813949e-06
AKR7A3	1.611246e-06	1.879638e-06
AKR7L	1.378359e-06	1.476158e-06
AKT1	1.561416e-06	2.293309e-06
AKT1S1	1.405726e-06	1.204374e-06
AKT2	2.290568e-06	2.10265e-06
AKT3	1.800182e-06	2.439398e-06
AKTIP	1.437773e-06	0
ALAD	2.325949e-07	1.669354e-06
ALAS1	1.167001e-06	2.016622e-06
ALAS2	1.747027e-06	7.723075e-07
ALB	1.725328e-06	2.139167e-06
ALCAM	9.133609e-07	8.272288e-07
ALDH16A1	6.797727e-07	2.054649e-06
ALDH18A1	5.629566e-07	1.288126e-06
ALDH1A1	0	7.685878e-07
ALDH1A2	7.898389e-07	8.458807e-07
ALDH1A3	0	6.698776e-07
ALDH1B1	1.233384e-06	6.715006e-07
ALDH1L1	2.258107e-06	2.476831e-06
ALDH1L2	9.718364e-07	1.165729e-06
ALDH2	8.023892e-07	1.977185e-06
ALDH3A1	2.088527e-06	4.857163e-06
ALDH3A2	1.987487e-07	7.006778e-07
ALDH3B1	1.732616e-06	6.320681e-07
ALDH3B2	1.070484e-06	2.837489e-06
ALDH4A1	5.548952e-07	2.249725e-06
ALDH5A1	7.954747e-07	1.663265e-06
ALDH6A1	7.583991e-07	1.62442e-06
ALDH7A1	1.381479e-06	2.060732e-06
ALDH8A1	9.032942e-07	1.725074e-06
ALDH9A1	0	4.043822e-07
ALDOA	8.317696e-07	2.545104e-07
ALDOB	3.963523e-06	4.204322e-06
ALDOC	1.053916e-06	1.934906e-06
ALG1	3.386949e-06	2.159086e-06
ALG10	1.580074e-06	4.061245e-06
ALG10B	2.297246e-06	2.767774e-06
ALG11	2.481034e-06	1.676486e-06
ALG12	1.769228e-06	1.778755e-06
ALG13	3.303568e-06	2.038729e-06
ALG14	1.210049e-06	1.462926e-06
ALG1L	1.633753e-06	1.916309e-06
ALG1L2	1.944327e-06	1.923633e-06
ALG2	6.12413e-07	1.827055e-06
ALG3	1.045477e-06	1.599511e-06
ALG5	9.176501e-07	2.78718e-06
ALG6	1.905863e-07	4.956934e-07
ALG8	1.082013e-06	1.099644e-06
ALG9	2.066948e-06	8.154818e-07
ALK	1.665212e-06	2.165612e-06
ALKBH1	2.272383e-06	1.081607e-06
ALKBH2	1.034802e-06	1.899815e-06
ALKBH3	1.215886e-06	1.813719e-06
ALKBH4	1.55412e-06	1.436404e-06
ALKBH5	1.080803e-06	1.328995e-06
ALKBH6	8.333799e-07	1.190015e-06
ALKBH7	1.841118e-06	1.913711e-06
ALKBH8	8.748229e-07	9.44434e-07
ALLC	1.359749e-06	3.120489e-06
ALMS1	1.17336e-06	8.400117e-07
ALOX12	1.29594e-06	2.52007e-06
ALOX12B	7.788872e-07	1.275643e-06
ALOX15	2.67268e-06	2.016334e-06
ALOX15B	1.02067e-06	1.306453e-06
ALOX5	1.189718e-06	1.967834e-06
ALOX5AP	1.259232e-06	1.772418e-06
ALOXE3	1.703741e-06	1.527413e-06
ALPI	6.403373e-07	4.955956e-07
ALPK1	1.512656e-06	1.552883e-06
ALPK2	0	2.186768e-06
ALPK3	2.434734e-06	2.01149e-06
ALPL	1.857501e-06	2.070493e-06
ALPP	1.076108e-06	1.550411e-06
ALPPL2	1.616052e-06	1.524679e-06
ALS2	0	1.761622e-06
ALS2CL	6.475375e-07	3.521192e-07
ALS2CR11	4.763123e-07	1.307753e-06
ALS2CR12	2.102794e-06	2.28823e-06
ALS2CR4	1.937309e-06	1.916691e-06
ALS2CR8	1.300615e-06	1.742217e-06
ALX1	1.376493e-06	5.422804e-06
ALX3	2.345823e-06	2.299979e-06
ALX4	1.214449e-06	2.341114e-06
AMAC1	1.937655e-06	1.917032e-06
AMAC1L2	1.937586e-06	1.916964e-06
AMAC1L3	1.937741e-06	1.917118e-06
AMACR	7.003699e-07	1.678714e-06
AMBN	1.49799e-06	2.291825e-06
AMBP	1.208636e-06	1.034669e-06
AMBRA1	2.003936e-06	2.257172e-06
AMD1	1.684779e-06	1.082664e-06
AMDHD1	1.4553e-06	2.095846e-06
AMDHD2	1.302915e-06	1.802845e-06
