gene	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	r_x_X	r_n_N	r_nns_Nns	r_ns_Ns	r_nnc_Nnc	r_nsnc_Nsnc
AIF1L	576877	134078	0	1	0	0	50	47	26801936	1.753605e-06	1.406559e-06	1.733472e-06	0	NaN	0
AIFM1	2037217	584990	0	2	1	0	50	26	23205315	1.120433e-06	1.144074e-06	9.817315e-07	1.709431e-06	NaN	1.709431e-06
AIFM2	1134539	343735	0	0	0	0	50	36	18059111	1.993454e-06	0	0	0	NaN	0
AIFM3	1907836	541436	0	2	1	0	50	57	31158190	1.829375e-06	1.224854e-06	1.048308e-06	1.846940e-06	NaN	1.846940e-06
AIG1	747677	198982	0	1	1	0	42	35	15578668	2.246662e-06	2.112693e-06	1.337476e-06	5.025580e-06	NaN	5.025580e-06
AIM1	5252954	1469734	0	8	2	0	39	21	19226529	1.092241e-06	1.487500e-06	1.522953e-06	1.360790e-06	NaN	1.360790e-06
AIM1L	1909971	543144	0	3	3	0	11	14	5035184	2.780435e-06	2.445870e-06	1.570704e-06	5.523397e-06	NaN	5.523397e-06
AIM2	1066219	281393	0	2	0	0	50	43	24210473	1.776091e-06	1.484107e-06	1.875787e-06	0	NaN	0
AIMP1	1052128	278831	0	2	0	0	50	35	23737357	1.474469e-06	1.502676e-06	1.900909e-06	0	NaN	0
AIMP2	968436	280539	0	2	0	0	50	10	26922350	3.714386e-07	1.601313e-06	2.065186e-06	0	NaN	0
AIP	1015406	282247	0	1	0	0	50	38	23126747	1.643119e-06	7.706220e-07	9.848277e-07	0	NaN	0
AIPL1	1170834	336903	0	1	1	0	50	44	24535847	1.793295e-06	1.326491e-06	8.540920e-07	2.968213e-06	NaN	2.968213e-06
AIRE	1918511	612745	0	3	0	0	17	20	9321410	2.145598e-06	1.185182e-06	1.563713e-06	0	NaN	0
AJAP1	1208837	400099	0	2	2	0	19	23	5904983	3.895015e-06	2.486115e-06	1.654483e-06	4.998763e-06	NaN	4.998763e-06
AK1	606767	173362	0	1	0	0	50	55	30963051	1.776311e-06	1.281839e-06	1.648079e-06	0	NaN	0
AK2	752374	209657	0	1	0	0	50	48	28144851	1.705463e-06	1.039468e-06	1.329126e-06	0	NaN	0
AK3	690032	206668	0	0	1	0	45	29	11897928	2.437399e-06	1.115200e-06	0	4.838678e-06	NaN	4.838678e-06
AK3L1	693448	187880	0	0	0	0	50	94	47740308	1.968986e-06	0	0	0	NaN	0
AK5	1774185	456036	0	10	1	0	50	51	22879514	2.229068e-06	4.932247e-06	5.636391e-06	2.192809e-06	NaN	2.192809e-06
AK7	2295979	576023	0	3	1	0	23	30	9440116	3.177927e-06	1.392757e-06	1.306632e-06	1.736042e-06	NaN	1.736042e-06
AKAP1	2710169	815143	0	5	2	0	33	13	13282689	9.787175e-07	1.985640e-06	1.844903e-06	2.453557e-06	NaN	2.453557e-06
AKAP10	2079063	540582	0	4	2	0	5	4	2155069	1.856089e-06	2.290387e-06	1.923944e-06	3.699716e-06	NaN	3.699716e-06
AKAP11	5817021	1548729	0	5	1	0	1	1	1849764	5.406095e-07	8.145810e-07	8.595465e-07	6.456908e-07	NaN	6.456908e-07
AKAP12	5359704	1542324	0	11	3	0	24	11	12334322	8.918204e-07	2.028389e-06	2.052352e-06	1.945117e-06	NaN	1.945117e-06
